CX,CG,"DATE_FROM
[yyyy-mm-dd]","DATE_TO
[yyyy-mm-dd]","ON CALL
TIME?",WK,TR,TTL
CX_YO4CW,CG_37GC9,2018-05-06,2018-05-13,NO,6.00,0.50,6.50
CX_YO4CW,CG_KKIT3,2018-05-07,2018-05-18,NO,31.00,2.00,33.00
CX_C2L1J,CG_WDJF2,2018-05-08,2018-05-15,NO,6.00,0.50,6.50
CX_EEISE,CG_U4B1H,2018-05-06,2018-05-19,NO,38.33,0.00,38.33
CX_CKIYY,CG_M2G5W,2018-05-08,2018-05-19,NO,27.00,1.50,28.50
CX_CKIYY,CG_KA0RO,2018-05-07,2018-05-18,NO,18.00,1.00,19.00
CX_CKIYY,CG_20H1K,2018-05-09,2018-05-16,NO,13.50,0.75,14.25
CX_DW0Q0,CG_DD9YA,2018-05-07,2018-05-17,NO,73.00,0.00,73.00
CX_WQ3XU,CG_RI282,2018-05-07,2018-05-18,NO,23.50,1.50,25.00
CX_DIXRF,CG_FU7W2,2018-05-08,2018-05-15,NO,5.00,0.50,5.50
CX_U2XTV,CG_P69RH,2018-05-06,2018-05-19,NO,41.50,0.00,41.50
CX_4I9FL,CG_DS1WO,2018-05-13,2018-05-19,NO,19.00,0.00,19.00
CX_J22S3,CG_RIUZK,,,NO,0.00,0.00,0.00
CX_J22S3,CG_WDJF2,2018-05-09,2018-05-18,NO,11.92,1.00,12.92
CX_MDEVC,CG_HZBRR,2018-05-06,2018-05-19,NO,48.00,0.00,48.00
CX_DBJES,CG_L0AMN,2018-05-07,2018-05-11,NO,15.00,1.00,16.00
CX_DBJES,CG_A8SIU,2018-05-10,2018-05-10,NO,3.00,0.25,3.25
CX_DBJES,CG_O4109,2018-05-12,2018-05-13,NO,4.00,0.50,4.50
CX_DBJES,CG_3GU1H,,,NO,0.00,0.00,0.00
CX_DBJES,CG_01ETC,2018-05-12,2018-05-13,NO,3.00,0.50,3.50
CX_DBJES,CG_LYMD4,2018-05-07,2018-05-11,NO,10.00,1.25,11.25
CX_AVE3C,CG_3GU1H,,,NO,0.00,0.00,0.00
CX_AVE3C,CG_RI282,2018-05-11,2018-05-18,NO,10.00,0.50,10.50
CX_OFZFG,CG_L0AMN,2018-05-12,2018-05-19,NO,8.00,0.50,8.50
CX_OFZFG,CG_SV84R,2018-05-06,2018-05-18,NO,46.00,3.00,49.00
CX_1ZUB4,CG_00E5R,2018-05-06,2018-05-19,NO,49.00,0.00,49.00
CX_C86XY,CG_WDJF2,2018-05-08,2018-05-08,NO,0.83,0.25,1.08
CX_96EOB,CG_RIUZK,2018-05-08,2018-05-18,NO,32.00,1.50,33.50
CX_ZRJKJ,CG_K8FJP,2018-05-06,2018-05-19,NO,54.00,0.00,54.00
CX_1GO4D,CG_EANVS,,,NO,0.00,0.00,0.00
CX_9I7LN,CG_FU7W2,2018-05-07,2018-05-18,NO,19.50,1.50,21.00
CX_Z4XG2,CG_63I1H,2018-05-06,2018-05-19,NO,31.00,0.00,31.00
CX_E925E,CG_37GC9,2018-05-06,2018-05-13,NO,13.50,0.33,13.83
CX_E925E,CG_G1DS2,2018-05-07,2018-05-17,NO,27.00,0.75,27.75
CX_E925E,CG_S2NZE,2018-05-09,2018-05-16,NO,4.00,0.00,4.00
CX_ZOQTH,CG_7CYP0,2018-05-19,2018-05-19,YES,3.50,0.25,3.75
CX_ZOQTH,CG_37GC9,2018-05-11,2018-05-12,NO,7.00,0.25,7.25
CX_ZOQTH,CG_G1DS2,2018-05-07,2018-05-17,NO,20.00,0.75,20.75
CX_ZOQTH,CG_S2NZE,2018-05-09,2018-05-16,NO,8.00,0.50,8.50
CX_7Y8A8,CG_JJT2G,2018-05-08,2018-05-17,NO,16.00,1.00,17.00
CX_2KJ4R,CG_EGGWU,2018-05-06,2018-05-19,NO,76.00,0.00,76.00
CX_IQ98U,CG_JLMZ5,2018-05-06,2018-05-19,NO,80.00,0.00,80.00
CX_ZPPBR,CG_S2NZE,2018-05-07,2018-05-18,NO,24.00,3.50,27.50
CX_L6QTM,CG_SVXII,2018-05-06,2018-05-19,NO,56.50,0.00,56.50
CX_L6QTM,CG_3Q4IG,2018-05-07,2018-05-19,NO,41.50,2.75,44.25
CX_DCGZQ,CG_O4109,2018-05-09,2018-05-19,NO,14.00,1.50,15.50
CX_DCGZQ,CG_RI282,2018-05-14,2018-05-14,YES,2.00,0.25,2.25
CX_K4N0I,CG_C4ZLQ,2018-05-06,2018-05-19,NO,49.83,0.00,49.83
CX_K4N0I,CG_37GC9,2018-05-10,2018-05-17,NO,6.00,0.50,6.50
CX_7UP17,CG_I5NBL,2018-05-07,2018-05-18,NO,29.50,2.50,32.00
CX_2SK3R,CG_LZ4JS,2018-05-06,2018-05-19,NO,49.50,0.00,49.50
CX_NWNEA,CG_PWSBE,2018-05-06,2018-05-19,NO,32.50,0.00,32.50
CX_99RAM,CG_T4S8S,2018-05-06,2018-05-19,NO,64.00,0.00,64.00
CX_Q0OI3,CG_4194G,2018-05-06,2018-05-19,NO,63.50,0.00,63.50
CX_F6OR0,CG_UXBIH,2018-05-06,2018-05-19,NO,42.50,0.00,42.50
CX_UEM4D,CG_9UQ03,2018-05-06,2018-05-19,NO,80.00,0.00,80.00
CX_KBE6K,CG_JJ6A2,2018-05-06,2018-05-19,NO,79.00,0.00,79.00
CX_KBE6K,CG_P5RYP,2018-05-06,2018-05-19,NO,42.00,0.00,42.00
CX_TGAR2,CG_UPTJU,2018-05-06,2018-05-19,NO,44.00,0.00,44.00
CX_DNI5C,CG_8IUVG,2018-05-06,2018-05-19,NO,38.00,0.00,38.00
CX_K9Y53,CG_KJ7PC,2018-05-06,2018-05-19,NO,46.50,0.00,46.50
CX_83PBM,CG_35FPL,2018-05-07,2018-05-18,NO,15.50,1.25,16.75
CX_QJ9BC,CG_35FPL,2018-05-08,2018-05-15,NO,7.75,0.75,8.50
CX_4N117,CG_7PMO6,2018-05-06,2018-05-19,NO,23.00,0.00,23.00
CX_4N117,CG_WO33R,2018-05-06,2018-05-19,NO,33.50,0.00,33.50
CX_TGYV3,CG_663W1,2018-05-06,2018-05-19,NO,56.00,3.50,59.50
CX_NC52G,CG_U2KAX,2018-05-15,2018-05-16,YES,8.50,0.50,9.00
CX_NC52G,CG_RIUZK,2018-05-06,2018-05-19,NO,45.25,2.75,48.00
CX_BDVDB,CG_YGK6R,2018-05-06,2018-05-19,NO,80.00,0.00,80.00
CX_MKQBN,CG_LEAFH,2018-05-06,2018-05-19,NO,45.50,0.00,45.50
CX_TJPSG,CG_AGQZZ,2018-05-06,2018-05-19,NO,27.00,0.00,27.00
CX_R228Y,CG_TAYET,2018-05-06,2018-05-19,NO,80.00,0.00,80.00
CX_5ZCOK,CG_O4109,2018-05-07,2018-05-17,NO,9.00,1.00,10.00
CX_5ZCOK,CG_R5GA9,2018-05-06,2018-05-19,NO,76.50,0.00,76.50
CX_5ZCOK,CG_RI282,2018-05-15,2018-05-16,YES,4.00,0.50,4.50
CX_28PUG,CG_VB5TG,2018-05-06,2018-05-19,NO,64.00,0.00,64.00
CX_28PUG,CG_I5NBL,2018-05-07,2018-05-17,NO,7.50,0.75,8.25
CX_FE4E7,CG_IXEO3,2018-05-07,2018-05-18,NO,41.50,0.00,41.50
CX_C1EUL,CG_NIERI,2018-05-07,2018-05-18,NO,22.00,1.50,23.50
CX_H5NQY,CG_OEDN7,2018-05-06,2018-05-19,NO,74.00,0.00,74.00
CX_MKSXT,CG_4DMFY,2018-05-07,2018-05-18,NO,18.00,1.50,19.50
CX_7GAAX,CG_35FPL,2018-05-08,2018-05-15,NO,13.00,0.75,13.75
CX_PX4WL,CG_NIERI,2018-05-07,2018-05-18,NO,13.50,1.50,15.00
CX_OTFXR,CG_M2G5W,2018-05-07,2018-05-18,NO,24.00,1.50,25.50
CX_OTFXR,CG_4DMFY,2018-05-08,2018-05-17,NO,16.00,1.00,17.00
CX_T5BPK,CG_FJ24K,2018-05-06,2018-05-19,NO,80.00,0.00,80.00
CX_T5BPK,CG_TEREL,2018-05-06,2018-05-19,NO,80.00,0.00,80.00
CX_T5BPK,CG_QJK9V,2018-05-06,2018-05-19,NO,35.00,0.00,35.00
CX_ZZ9V4,CG_S9AHO,2018-05-06,2018-05-19,NO,64.00,0.00,64.00
CX_5XEJ7,CG_4XZDJ,2018-05-06,2018-05-19,NO,28.00,0.00,28.00
